ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
ID_001,1.856,0.209,-3.391,-1.538,0.074,0.956,-3.861,0.9,4.025,-1.226
ID_002,-0.868,-1.375,-4.994,-3.477,2.873,-0.851,-2.453,-0.405,4.286,-1.622
ID_003,5.026,1.149,-2.983,-2.349,-0.369,-0.787,-0.848,3.314,2.37,-2.912
ID_004,-2.14,1.502,-2.626,-2.02,3.435,3.016,2.501,1.667,-1.403,-2.293
ID_005,-2.048,-0.048,2.502,-2.555,6.584,1.012,-4.616,-1.705,6.005,-0.334
ID_006,-0.366,2.423,-0.515,0.08,0.769,-1.669,-3.355,0.072,-0.485,-0.16
ID_007,-0.111,1.1,0.606,-2.14,2.902,-1.116,-3.536,0.251,0.369,-2.381
ID_008,-0.407,3.865,-0.534,0.91,1.046,-5.444,-1.984,-1.325,-3.822,-0.495
ID_009,-4.62,-2.38,3.724,-0.583,1.606,0.516,3.41,3.135,-4.547,-1.028
ID_010,-0.868,4.044,-0.394,0.413,1.969,-1.764,-0.813,-0.218,-1.978,1.165
ID_011,1.085,-0.803,-2.721,-2.952,0.615,-0.602,-0.986,2.066,3.461,-1.609
ID_012,2.268,1.479,0.281,-0.213,-4.546,1.102,-0.828,-0.299,-4.697,1.225
ID_013,1.273,1.882,-0.01,-4.554,-2.606,-2.092,4.046,2.273,-1.115,4.35
ID_014,-0.541,-1.532,0.291,-2.98,-0.179,0.988,1.958,1.677,-2.162,3.022
ID_015,5.1,4.078,1.568,-2.271,-2.32,-2.007,1.877,3.4,-2.416,2.707
ID_016,2.936,-2.629,1.087,-0.104,-1.208,2.0,-1.668,3.052,-3.531,0.98
ID_017,1.037,2.687,2.594,-1.369,-2.232,0.687,2.414,3.572,2.41,2.312
ID_018,1.762,1.824,1.721,-1.148,-0.548,1.566,1.356,1.304,-2.119,0.753
ID_019,0.521,-0.956,4.369,-2.244,0.378,0.88,0.738,0.863,-0.636,1.994
ID_020,0.243,-1.609,-0.672,-2.155,-2.493,3.16,1.74,3.493,-2.495,2.199
ID_021,3.354,-0.571,2.114,-1.485,-2.073,1.069,-0.057,2.557,-2.835,1.765
ID_022,-1.167,-0.768,-3.271,-0.289,4.897,2.013,1.893,2.255,1.145,-4.357
ID_023,-6.115,1.36,-1.698,-4.298,3.421,6.339,2.152,-0.551,-1.519,-1.443
ID_024,-2.428,3.152,-1.703,-0.355,3.418,1.29,1.433,0.579,-2.434,-4.492
ID_025,-2.094,1.02,-3.027,-4.707,2.055,2.06,-0.143,1.576,-3.083,0.214
ID_026,-1.034,-2.121,1.039,0.94,0.513,1.56,1.269,1.714,-0.938,-1.69
ID_027,-3.669,-1.379,1.315,3.703,2.629,3.257,-0.885,-1.411,-1.048,-4.003
ID_028,-0.056,-3.485,3.263,0.611,0.953,-2.486,1.977,1.612,-3.286,-2.655
ID_029,-1.834,-0.04,2.828,2.18,3.024,2.155,2.599,1.273,-2.361,-1.043
ID_030,0.82,-1.627,1.903,3.764,2.965,-0.442,0.712,1.677,-1.982,-2.653
