y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3.0,-1.135,-3.003,-0.041,2.683,-1.122,0.936,-0.388,1.61,-1.385,-1.909
2.0,-1.243,-1.825,-1.36,0.02,1.61,0.581,3.659,0.693,-0.838,0.009
1.0,2.885,2.161,3.516,-0.23,-0.729,1.82,0.235,0.532,-2.33,1.174
3.0,-3.587,-0.779,2.637,-0.419,0.141,4.889,-0.114,-2.707,-1.864,-1.066
3.0,0.951,-2.216,-0.527,-0.164,0.078,3.358,-0.425,0.122,-0.127,-2.824
0.0,3.803,5.429,-0.251,-0.288,4.925,-1.222,-3.144,6.056,-0.125,-5.444
1.0,3.068,3.243,2.657,-0.15,-0.227,1.669,0.806,0.53,-1.57,1.169
2.0,0.53,0.122,0.702,2.039,-2.332,0.655,3.241,1.912,1.076,0.898
3.0,-3.149,-1.544,-2.483,4.107,0.537,1.102,0.466,2.44,-1.684,-1.647
2.0,-1.808,1.991,-0.672,2.126,4.438,2.769,2.329,-0.308,0.426,-4.337
2.0,-1.067,0.198,1.237,-3.501,0.66,4.417,-0.102,0.66,-2.068,0.277
3.0,-5.315,1.24,4.261,3.351,3.043,4.571,3.421,4.636,-3.431,0.08
2.0,-0.383,-0.759,-3.141,-1.824,0.47,0.116,0.928,1.834,-4.024,0.491
3.0,-0.426,2.872,3.381,2.42,1.862,5.916,1.629,2.521,-3.611,0.807
1.0,0.887,0.084,3.075,-0.824,-0.345,5.291,1.173,0.432,-2.02,0.117
3.0,-1.44,-1.411,1.368,-1.56,0.033,2.281,-0.008,0.59,-3.551,-1.727
2.0,-3.115,1.426,0.089,-3.954,1.195,3.546,1.542,1.862,-2.013,-1.86
2.0,-2.18,-0.233,-2.59,-1.611,1.732,2.473,3.692,1.536,-1.4,-2.885
0.0,-0.242,0.163,-2.296,-2.562,2.127,-1.022,-1.408,0.241,3.372,-0.252
1.0,1.046,-0.76,0.469,-3.615,-0.033,2.006,4.617,5.062,-0.622,3.781
3.0,0.916,-0.986,1.539,4.761,0.376,-0.265,2.143,2.843,-0.899,-0.091
2.0,-2.741,4.611,-0.403,2.431,2.671,2.802,0.314,-0.149,0.042,-2.877
0.0,-2.716,0.877,-3.615,-1.845,2.484,-0.751,-2.288,-0.244,0.329,-0.843
1.0,-2.27,0.749,1.794,-0.912,-1.276,2.573,0.912,-1.454,-0.014,1.985
3.0,-6.415,-0.705,2.016,-0.085,2.451,6.227,0.343,0.608,-0.881,-2.73
1.0,0.429,1.032,0.192,-1.574,-3.503,1.755,1.389,1.987,-1.877,0.545
1.0,1.706,-1.272,2.772,0.381,-1.455,2.585,-1.562,3.19,-1.946,2.24
1.0,4.794,1.095,2.033,-1.519,-2.133,1.574,1.567,2.803,-2.95,2.77
1.0,1.825,5.494,0.438,0.815,-1.349,2.563,0.712,-1.872,-3.121,-0.516
0.0,2.734,4.471,1.723,0.843,1.402,-2.787,-0.856,3.598,-0.95,-1.551
3.0,-2.308,-4.742,1.358,-2.301,3.242,-0.98,1.314,2.007,0.547,-3.745
2.0,1.814,0.475,-2.683,-0.792,2.459,0.355,0.936,2.411,-2.011,-2.115
0.0,2.512,2.256,1.01,1.84,-1.348,-2.098,2.075,1.116,-5.105,2.736
2.0,-0.212,5.372,5.111,-1.981,-5.371,1.638,-0.129,0.249,-2.599,1.547
0.0,1.129,2.928,-2.552,-0.334,1.368,-4.68,-1.968,-0.4,-0.054,-0.711
0.0,0.179,3.146,-2.03,-0.002,0.465,-2.243,0.307,-0.132,-1.937,0.912
2.0,-0.298,4.737,-0.356,-1.123,1.979,-0.595,0.07,-0.612,-2.716,-1.855
0.0,0.571,0.563,2.152,-1.058,2.548,-0.951,-1.462,1.456,4.087,-0.413
1.0,1.457,1.259,0.74,-0.033,-0.645,0.448,-0.094,2.744,-0.872,1.68
3.0,0.415,1.403,2.519,1.678,0.309,3.064,3.247,3.02,-4.193,0.304
0.0,-1.386,-1.862,-4.253,-3.414,1.236,0.385,-2.001,-2.794,3.135,-0.256
0.0,0.304,4.088,-0.76,-0.28,5.048,-3.316,-2.223,2.569,-0.037,-2.486
0.0,1.497,2.299,-0.522,-0.361,-0.426,-5.374,-1.469,0.152,-1.029,-1.059
0.0,3.157,1.87,-1.214,-1.38,2.17,-1.726,-2.047,1.702,2.755,-2.269
0.0,3.157,1.094,0.462,-0.359,-1.442,-3.616,-1.119,-0.321,1.722,0.172
2.0,-1.511,2.082,-2.534,-1.249,1.491,1.033,2.146,0.325,-0.866,-1.272
0.0,2.333,2.101,-0.364,-1.184,2.95,-2.564,-2.219,-1.28,1.498,-1.511
0.0,0.167,1.086,-0.613,-1.246,3.051,0.022,-2.05,2.662,3.458,-1.455
0.0,2.165,0.302,0.124,-2.12,0.76,-2.419,-1.887,-0.562,0.928,-2.24
1.0,0.136,0.251,1.142,-2.916,-2.027,2.064,2.889,2.782,2.09,0.458
3.0,-5.051,0.318,2.008,0.803,2.711,4.03,3.073,-0.288,-1.925,-0.585
2.0,0.438,1.579,-1.309,-1.652,0.828,0.669,1.136,2.393,-1.253,-0.899
2.0,-2.538,3.524,-1.807,-0.924,2.972,1.224,1.233,2.024,-0.057,-3.097
0.0,2.437,1.335,0.886,-1.822,1.687,0.91,-0.428,2.71,1.702,-1.49
3.0,-2.671,-2.491,1.623,-0.208,2.465,3.025,0.278,1.442,0.101,-2.19
3.0,-1.085,-0.575,1.327,1.951,2.775,1.046,2.544,2.888,-0.633,-1.057
1.0,-0.372,2.152,-3.608,-2.477,-1.007,-1.569,-1.689,2.173,-3.203,2.023
0.0,-2.018,-1.442,-4.096,-2.085,-1.876,-3.181,-0.455,-5.176,0.966,2.386
1.0,0.802,3.577,-3.103,-2.442,5.564,-0.329,1.15,2.803,-0.269,-1.759
2.0,-1.802,2.207,-2.983,1.855,0.839,-0.401,1.104,2.343,-0.729,-0.438
0.0,1.455,2.056,-2.861,-1.235,2.383,-3.636,-1.741,0.532,0.14,-2.265
3.0,-0.048,-0.294,4.273,1.938,2.316,-0.399,3.535,3.203,-2.614,0.581
0.0,1.339,0.12,-0.851,-2.634,3.21,-2.233,-3.838,-0.268,4.984,-1.626
2.0,-0.824,-0.621,1.036,-0.995,-1.313,3.906,2.843,3.119,0.12,0.235
3.0,-0.502,-0.845,0.524,4.0,-0.489,0.171,1.547,0.787,-3.211,-0.588
1.0,0.019,-1.486,0.4,-2.332,-1.795,2.476,1.854,2.776,-1.8,2.259
2.0,-0.18,-0.527,-0.552,-6.26,-1.535,0.821,1.951,2.931,-4.085,1.357
0.0,-1.189,3.556,-2.138,-0.783,5.134,-0.442,-1.63,-0.19,0.343,0.778
0.0,1.062,2.926,-1.5,-0.475,1.093,-2.756,-0.271,2.089,0.129,-1.03
1.0,1.403,3.005,2.818,-1.343,-0.057,1.15,1.387,-0.297,-2.237,1.722
1.0,1.012,1.722,2.678,-4.107,-3.438,-1.711,2.203,0.507,-2.05,3.452
2.0,-3.565,1.111,-1.692,-4.474,2.722,3.714,0.769,0.511,-0.809,-0.278
2.0,-0.912,2.838,-0.661,0.039,-0.776,0.405,-1.195,2.085,1.221,0.234
2.0,-1.316,2.63,-0.804,-0.422,2.606,1.245,1.774,-0.838,-0.591,-3.023
2.0,-1.879,1.765,-2.417,-0.592,3.449,2.099,1.829,0.209,-1.277,-1.854
2.0,-0.284,2.214,-2.278,-3.218,3.469,0.896,1.402,1.798,-1.573,-2.107
1.0,2.38,4.61,2.932,-0.168,-1.703,1.304,0.588,-2.334,-2.636,0.431
3.0,1.029,-1.414,4.078,-0.031,0.139,-0.592,2.428,2.316,-3.828,-0.555
2.0,-1.084,5.738,5.273,-1.626,-4.301,3.669,0.541,-0.722,-1.87,1.194
1.0,3.792,1.955,2.052,-3.096,-3.268,0.496,2.618,2.783,-2.212,2.665
0.0,-0.62,1.523,-5.243,-1.469,0.186,-0.341,-0.996,1.27,-1.387,-1.564
1.0,-1.176,-0.891,0.744,0.373,0.421,5.604,-0.312,1.288,-1.568,0.352
0.0,0.141,5.917,2.186,0.634,6.837,-3.865,-3.875,0.555,-1.843,-2.494
3.0,-3.529,-1.762,-0.33,0.561,0.134,3.723,1.08,-2.584,-0.703,-2.348
1.0,0.267,1.774,1.077,0.003,-1.922,4.572,1.361,1.271,0.444,-0.565
0.0,0.932,6.176,0.35,0.226,5.643,-1.128,-0.658,5.88,-1.604,-3.008
1.0,2.036,2.683,2.196,-3.386,-2.02,2.026,4.329,2.286,0.624,1.122
0.0,3.765,3.982,-0.192,0.849,-0.701,-5.52,-1.58,2.047,-1.575,-1.949
2.0,-1.426,5.018,-2.288,-3.293,0.99,1.093,-0.042,1.751,-4.147,-0.587
1.0,1.657,4.473,1.776,0.737,-3.946,2.781,-0.368,1.062,-1.181,0.512
1.0,3.974,0.51,3.212,1.707,-4.883,1.098,-3.394,3.011,-1.719,0.475
1.0,-2.315,1.548,1.622,-0.77,-1.487,2.447,1.159,-0.089,1.193,-0.051
0.0,0.292,0.632,-4.001,-2.2,0.863,-2.216,-1.595,1.357,1.176,-1.358
0.0,1.187,1.232,-0.809,-2.405,2.139,-1.461,-0.441,1.137,1.99,-1.045
1.0,1.646,2.811,-0.492,-2.546,-3.166,1.667,3.325,3.207,-0.669,1.907
2.0,-0.609,3.253,-3.434,-1.831,-0.267,-0.59,-0.137,1.775,-4.708,1.059
2.0,-0.08,4.063,-2.134,1.531,2.466,-2.021,2.448,1.062,-1.73,-3.183
1.0,-2.691,-0.122,1.653,-0.358,-2.045,1.788,-1.218,-0.009,-0.802,1.621
3.0,0.089,-4.49,2.034,-0.444,0.04,-1.508,1.581,-1.516,-0.507,-2.469
0.0,0.229,0.324,-0.245,-0.597,-1.313,-2.209,-0.095,-1.207,1.171,0.91
1.0,-0.051,2.622,-2.184,-1.705,-2.81,0.201,3.834,4.258,0.85,1.827
3.0,-0.811,-2.492,-0.439,2.059,0.575,-0.38,2.187,0.685,-3.59,-2.628
3.0,-1.518,-1.398,1.335,0.064,1.012,0.959,1.702,0.896,0.26,-0.887
0.0,-2.571,-0.577,-1.334,-2.535,3.038,1.042,-2.418,0.269,2.915,-0.349
2.0,-1.808,0.136,-3.546,-2.356,3.251,1.243,3.25,2.418,-2.185,-2.144
3.0,0.184,-1.396,-1.368,0.026,-4.139,2.548,-0.833,2.214,-2.734,0.889
1.0,0.087,4.827,3.792,-0.474,-0.788,2.526,1.371,-2.656,-0.689,-0.031
0.0,0.846,-1.954,-2.088,-3.079,-0.481,-2.306,-1.697,-2.147,1.465,-1.037
0.0,5.006,3.172,-2.231,-1.113,2.606,-3.122,-2.017,4.067,1.699,-4.116
2.0,0.986,-1.761,-4.323,-2.486,4.548,-0.012,2.416,2.9,-1.592,-2.326
3.0,-2.904,-1.621,-1.04,2.099,0.136,3.002,0.124,1.439,-2.87,-1.833
3.0,1.373,0.37,3.311,2.525,1.132,1.857,1.937,2.317,-4.696,-0.331
1.0,0.677,1.106,2.278,-1.804,0.519,-0.623,-0.007,0.411,-2.845,2.241
1.0,4.002,0.687,4.211,-0.062,-2.376,-0.043,-3.193,-0.718,-5.336,1.446
2.0,-2.128,0.164,-2.69,-2.799,3.191,2.581,1.111,3.032,-0.931,-3.231
3.0,1.079,0.69,1.498,0.691,-3.297,3.334,-1.443,0.293,-2.631,-0.451
0.0,3.262,-0.21,-0.879,-2.049,0.807,0.117,-2.434,-1.465,4.708,-0.273
0.0,2.471,2.354,-2.884,-2.154,2.268,-2.478,-0.259,3.944,1.54,-2.694
3.0,-6.521,-2.482,1.233,1.617,4.979,1.811,-0.773,1.979,-1.51,-4.655
3.0,-0.651,-1.99,0.377,0.409,-0.108,1.681,3.48,3.453,-2.941,-2.233
1.0,0.085,1.313,2.924,0.732,0.343,3.016,-1.463,-1.181,-2.533,1.483
0.0,-2.981,0.487,0.091,-3.015,6.396,-0.962,-4.45,-2.131,3.431,-0.759
2.0,-2.019,-1.926,-0.253,0.008,-0.115,2.047,2.815,0.725,-0.113,1.128
1.0,1.765,-0.288,-0.971,-4.143,-3.028,0.726,3.652,3.983,-1.53,3.606
0.0,3.68,-0.123,-4.278,-3.484,0.916,-1.829,-1.828,1.39,3.994,-1.965
1.0,3.031,1.828,-1.683,-1.711,3.399,-0.878,-4.192,1.447,4.0,-2.505
3.0,-1.575,0.276,2.966,-1.0,2.44,3.794,1.248,1.313,3.814,1.234
2.0,-1.647,-0.17,-5.785,-3.786,2.672,0.078,0.367,2.96,-2.105,-0.906
0.0,2.337,-0.913,-2.081,-3.731,3.116,0.483,-3.49,1.264,4.763,-2.965
3.0,-0.499,-2.491,2.082,-0.751,1.154,1.951,-0.456,0.527,-2.316,-2.378
1.0,2.12,0.164,3.802,1.916,-1.337,3.42,-3.158,-0.109,-3.512,1.367
0.0,1.959,0.916,-3.656,-2.874,1.196,-1.687,0.114,2.509,3.134,-1.056
2.0,0.247,-0.433,2.497,4.049,2.222,0.373,2.035,2.579,0.589,0.711
3.0,-0.023,-1.164,1.816,0.986,1.462,3.053,0.715,0.71,-0.985,-2.396
0.0,0.462,1.838,-7.079,-2.238,0.359,-2.032,0.559,4.485,0.585,-1.19
1.0,1.511,4.806,0.864,-2.234,-2.401,-0.576,2.721,-0.433,-2.393,2.335
0.0,6.574,2.525,-6.108,-2.746,0.509,-3.663,0.01,7.395,2.277,-4.964
2.0,-1.241,5.768,-0.378,1.916,-0.602,0.333,1.076,2.879,0.056,-2.939
2.0,-0.005,-0.567,-2.538,-2.069,3.44,3.331,1.801,3.619,2.233,-3.66
0.0,0.19,4.12,-1.683,0.185,2.932,-4.603,-3.277,-1.437,-1.757,-1.166
1.0,0.976,3.328,5.355,-0.003,0.502,4.325,0.773,0.009,-0.716,0.551
0.0,2.28,2.166,0.408,-0.364,-0.484,-3.133,0.136,0.458,-0.435,-0.167
3.0,-5.125,-1.241,-1.872,3.606,3.422,2.364,0.736,2.753,-1.288,-2.84
3.0,-1.916,-0.599,2.606,6.242,1.193,0.58,2.753,0.805,-3.545,-0.573
1.0,2.268,2.766,4.645,-1.635,-1.765,1.301,0.478,0.254,-1.307,2.119
1.0,-1.349,2.608,0.501,1.302,-2.679,5.232,0.272,-0.93,0.229,-0.973
2.0,-0.501,-0.127,0.063,1.467,1.948,2.679,2.301,1.981,2.888,-2.582
0.0,-0.877,-0.802,-5.512,-1.516,-2.704,-3.844,-1.684,0.229,1.179,-0.582
2.0,-1.433,3.126,-1.111,-0.606,-1.06,-1.307,1.507,2.629,-0.331,-0.947
1.0,-1.344,1.239,2.973,3.168,-2.356,6.214,2.158,-0.46,-2.609,1.454
